probe,spearman_rho_vs_lodo_f1,p,n_runs
nn_at_10,0.7889000064879687,4.254849834355044e-67,310
nmi,0.748036853124248,8.729412403914604e-57,310
anisotropy,-0.022145912028220898,0.6977263500039824,310
