system,Tech,Tech_std,Finance,Finance_std,Social,Social_std,Retail,Retail_std,Public,Public_std,avg_unweighted,n_runs
tfidf_linear,0.647248460722677,0.0,0.7080489500410678,0.0,0.6608054345702037,0.0,0.6646642131195709,0.0,0.7436714581793861,0.0,0.6848877033265811,25
fasttext_mlp,0.5608894123488455,0.008121264881045838,0.5903295819796033,0.013475472968068098,0.4846048618405199,0.009608143665355682,0.4042451883297204,0.041951208810241655,0.4558094556804796,0.04490043534731996,0.4991757000358337,25
mbert_ft,0.626956746566424,0.0121657219952064,0.7236256335917083,0.00444523524509912,0.6356969091126977,0.011209863459708171,0.6719873456850457,0.006640772968134402,0.7197696611907999,0.014147057064230893,0.6756072592293351,15
xlmr_ft,0.6698332952845296,0.01409581274016572,0.7689253667098571,0.007807174212321323,0.6974876685882224,0.014639453818571648,0.7165269797302762,0.005520029578573478,0.7317089286095002,0.004254407245303991,0.7168964477844771,25
mdeberta_ft,0.689770718639,0.011953582589206552,0.7712338491903985,0.00756079036332141,0.70962810133924,0.017594762136121055,0.7168633219533992,0.0026545493622266952,0.760006602862899,0.004789067676595745,0.7295005187969873,15
berturk_ft,0.6719018650390199,0.012509474665839833,0.7417697479874574,0.004359044628618811,0.6953101015262951,0.009704063090027502,0.6813157756737743,0.02411390994859488,0.6993293671238304,0.030527999844049112,0.6979253714700755,15
allma_ft,0.6548736120620186,0.016581261550840335,0.7393762421966338,0.005463678753928426,0.6677863732272368,0.016482445641511297,0.7009172335367192,0.01033383340395887,0.7476104159829534,0.01337481494871531,0.7021127754011124,15
xlmr_dapt,0.697262236971726,0.016291499165438875,0.7808239918694723,0.00927030274568823,0.716440433203913,0.009508312613045584,0.7335718774968584,0.0017941420990725777,0.7643680312575377,0.012048103648605773,0.7384933141599015,15
xlmr_add,0.6952146544588208,0.008238157122074184,0.7596159982250725,0.007520435578241763,0.7036731988707023,0.006053362138639672,0.7196229815337585,0.014158036397907123,0.73338111553038,0.009041320944909344,0.7223015897237468,15
xlmr_film,0.6640350070945451,0.00657435246815655,0.770529034244981,0.005907906728372545,0.7034403918178286,0.003992029574537304,0.7245455891440042,0.011917440379615443,0.7445826169654023,0.007684204761162246,0.7214265278533522,15
full,0.6973992297438126,0.02207580297443168,0.7676034079301428,0.006697211455253367,0.7099703379378649,0.005047473145928236,0.7161855990440649,0.017210184553987734,0.7672955864853663,0.01562855771500069,0.7316908322282504,25
full_mdeberta,0.6696144673656207,0.008389786182070827,0.7894278417106794,0.007255017028350496,0.7323859225545525,0.010881639557637516,0.7311845725420962,0.01185171561658748,0.7515316211499234,0.0038745127463174853,0.7348288850645744,15
full_mbert,0.645585174678746,0.010378033129658534,0.7150140782795463,0.005894348099203724,0.6643348666657388,0.008390287843247817,0.6963567569925075,0.011467359084026577,0.7258396718408068,0.005609150515357551,0.6894261096914691,15
full_midinject,0.6936933044522214,0.008644029698783414,0.7712335296373052,0.00630970995307935,0.7168442033058278,0.009823011217113304,0.7232832274300609,0.006401096975090848,0.7579133966723788,0.01247347703865316,0.7325935322995588,15
mdeberta_dapt,0.6712373446889651,0.008796559126002633,0.7812574264098381,0.007859332626421621,0.7326315048875226,0.007642617633658866,0.7267662509502584,0.020466035371091915,0.7610857047876824,0.011082610817265423,0.7345956463448533,15
xlmr_supcon,0.6623520147225045,0.007530003521946588,0.7570350581059457,0.01988505744405219,0.6885921856533228,0.01330088617998172,0.7023523309225637,0.01837126169726668,0.728468713290419,0.009965976454470591,0.7077600605389511,25
