regime,system,ece_before,ece_after,mce_before,mce_after,brier_before,brier_after,temperature,neu_ece_before
indomain,full,0.12350594509107524,0.058372879401836573,0.29023943804560626,0.1600493293478024,0.3890358380859742,0.3605693058051358,1.6445999999999998,0.10991358815320174
indomain,xlmr_ft,0.10484777028024936,0.0608502032925791,0.25682107709071433,0.16506781211078347,0.39771211620627606,0.3771842285077544,1.4979999999999998,0.09649841100819097
lodo,full,0.09707564114962597,0.06469275229435188,0.23503077523913063,0.17628373109984172,0.39441230607069244,0.38146280919677494,1.3193999999999997,0.09657546280452518
lodo,xlmr_ft,0.07896953439055948,0.07126019839270589,0.19900668686284978,0.18368813357827055,0.3874348563352176,0.3847355185199975,1.1247999999999998,0.090289377266195
