regime,scope,system,seed,t,l1_from_matched,prior_neg,prior_neu,prior_pos,macro_f1
lodo,Finance,full_midinject,s100,0.6,0.3072,0.3072,0.4476,0.2452,0.7638870080550424
lodo,Finance,full_midinject,s100,0.7,0.3584,0.3004,0.4732,0.2264,0.7616304268461779
lodo,Finance,full_midinject,s100,0.8,0.4096,0.2936,0.4988,0.2076,0.7586219903032286
lodo,Finance,full_midinject,s100,0.9,0.4608,0.2868,0.5244,0.1888,0.7547628216224661
lodo,Finance,full_midinject,s100,1.0,0.512,0.28,0.55,0.17,0.7499090759963479
lodo,Finance,full_midinject,s13,0.0,0.0,0.348,0.294,0.358,0.759208457172412
lodo,Finance,full_midinject,s13,0.1,0.0512,0.3412,0.3196,0.3392,0.76327586823461
lodo,Finance,full_midinject,s13,0.2,0.1024,0.3344,0.3452,0.3204,0.7666215259437172
lodo,Finance,full_midinject,s13,0.3,0.1536,0.3276,0.3708,0.3016,0.7693274027112224
lodo,Finance,full_midinject,s13,0.4,0.2048,0.3208,0.3964,0.2828,0.7714512328772264
lodo,Finance,full_midinject,s13,0.5,0.256,0.314,0.422,0.264,0.7730301256906769
lodo,Finance,full_midinject,s13,0.6,0.3072,0.3072,0.4476,0.2452,0.7740822641763705
lodo,Finance,full_midinject,s13,0.7,0.3584,0.3004,0.4732,0.2264,0.7746068246258161
lodo,Finance,full_midinject,s13,0.8,0.4096,0.2936,0.4988,0.2076,0.7745819183218486
lodo,Finance,full_midinject,s13,0.9,0.4608,0.2868,0.5244,0.1888,0.7739599249593834
lodo,Finance,full_midinject,s13,1.0,0.512,0.28,0.55,0.17,0.7726588870449062
lodo,Finance,full_midinject,s21,0.0,0.0,0.348,0.294,0.358,0.7505718599706933
lodo,Finance,full_midinject,s21,0.1,0.0512,0.3412,0.3196,0.3392,0.7535268109313927
lodo,Finance,full_midinject,s21,0.2,0.1024,0.3344,0.3452,0.3204,0.755806380221354
lodo,Finance,full_midinject,s21,0.3,0.1536,0.3276,0.3708,0.3016,0.7574875889386785
lodo,Finance,full_midinject,s21,0.4,0.2048,0.3208,0.3964,0.2828,0.7586240637511037
lodo,Finance,full_midinject,s21,0.5,0.256,0.314,0.422,0.264,0.7592497511819504
lodo,Finance,full_midinject,s21,0.6,0.3072,0.3072,0.4476,0.2452,0.7593807150110853
lodo,Finance,full_midinject,s21,0.7,0.3584,0.3004,0.4732,0.2264,0.7590151943795811
lodo,Finance,full_midinject,s21,0.8,0.4096,0.2936,0.4988,0.2076,0.7581317656772449
lodo,Finance,full_midinject,s21,0.9,0.4608,0.2868,0.5244,0.1888,0.7566850313305759
lodo,Finance,full_midinject,s21,1.0,0.512,0.28,0.55,0.17,0.7545975876897124
lodo,Finance,full_midinject,s42,0.0,0.0,0.348,0.294,0.358,0.7616075429790752
lodo,Finance,full_midinject,s42,0.1,0.0512,0.3412,0.3196,0.3392,0.7643560665083671
lodo,Finance,full_midinject,s42,0.2,0.1024,0.3344,0.3452,0.3204,0.7663688525072921
lodo,Finance,full_midinject,s42,0.3,0.1536,0.3276,0.3708,0.3016,0.7677158483555003
lodo,Finance,full_midinject,s42,0.4,0.2048,0.3208,0.3964,0.2828,0.7684412133027031
lodo,Finance,full_midinject,s42,0.5,0.256,0.314,0.422,0.264,0.7685666012528062
lodo,Finance,full_midinject,s42,0.6,0.3072,0.3072,0.4476,0.2452,0.7680922989936348
lodo,Finance,full_midinject,s42,0.7,0.3584,0.3004,0.4732,0.2264,0.7669963322047201
lodo,Finance,full_midinject,s42,0.8,0.4096,0.2936,0.4988,0.2076,0.7652312763795273
lodo,Finance,full_midinject,s42,0.9,0.4608,0.2868,0.5244,0.1888,0.7627180347280494
lodo,Finance,full_midinject,s42,1.0,0.512,0.28,0.55,0.17,0.7593351003903016
lodo,Finance,full_midinject,s87,0.0,0.0,0.348,0.294,0.358,0.7693114336588955
lodo,Finance,full_midinject,s87,0.1,0.0512,0.3412,0.3196,0.3392,0.771865395571686
lodo,Finance,full_midinject,s87,0.2,0.1024,0.3344,0.3452,0.3204,0.7737170646655572
lodo,Finance,full_midinject,s87,0.3,0.1536,0.3276,0.3708,0.3016,0.7749382824689904
lodo,Finance,full_midinject,s87,0.4,0.2048,0.3208,0.3964,0.2828,0.7755763013244215
lodo,Finance,full_midinject,s87,0.5,0.256,0.314,0.422,0.264,0.7756572201609829
lodo,Finance,full_midinject,s87,0.6,0.3072,0.3072,0.4476,0.2452,0.7751873602116214
lodo,Finance,full_midinject,s87,0.7,0.3584,0.3004,0.4732,0.2264,0.7741527129038994
lodo,Finance,full_midinject,s87,0.8,0.4096,0.2936,0.4988,0.2076,0.772516224273445
lodo,Finance,full_midinject,s87,0.9,0.4608,0.2868,0.5244,0.1888,0.7702122108472569
lodo,Finance,full_midinject,s87,1.0,0.512,0.28,0.55,0.17,0.7671364530411187
lodo,Finance,mdeberta_dapt,s100,0.0,0.0,0.348,0.294,0.358,0.7609989288672105
lodo,Finance,mdeberta_dapt,s100,0.1,0.0512,0.3412,0.3196,0.3392,0.7626459578337851
lodo,Finance,mdeberta_dapt,s100,0.2,0.1024,0.3344,0.3452,0.3204,0.7636490209531139
lodo,Finance,mdeberta_dapt,s100,0.3,0.1536,0.3276,0.3708,0.3016,0.7640744836304227
lodo,Finance,mdeberta_dapt,s100,0.4,0.2048,0.3208,0.3964,0.2828,0.7639653782862807
lodo,Finance,mdeberta_dapt,s100,0.5,0.256,0.314,0.422,0.264,0.7633448202446136
lodo,Finance,mdeberta_dapt,s100,0.6,0.3072,0.3072,0.4476,0.2452,0.762217387260494
lodo,Finance,mdeberta_dapt,s100,0.7,0.3584,0.3004,0.4732,0.2264,0.7605686186430957
lodo,Finance,mdeberta_dapt,s100,0.8,0.4096,0.2936,0.4988,0.2076,0.758362417901807
lodo,Finance,mdeberta_dapt,s100,0.9,0.4608,0.2868,0.5244,0.1888,0.7555356748043237
lodo,Finance,mdeberta_dapt,s100,1.0,0.512,0.28,0.55,0.17,0.7519886767297268
lodo,Finance,mdeberta_dapt,s13,0.0,0.0,0.348,0.294,0.358,0.7899697711510735
lodo,Finance,mdeberta_dapt,s13,0.1,0.0512,0.3412,0.3196,0.3392,0.7909305907199354
lodo,Finance,mdeberta_dapt,s13,0.2,0.1024,0.3344,0.3452,0.3204,0.7912247811431352
lodo,Finance,mdeberta_dapt,s13,0.3,0.1536,0.3276,0.3708,0.3016,0.7909027693554683
lodo,Finance,mdeberta_dapt,s13,0.4,0.2048,0.3208,0.3964,0.2828,0.7899900300322193
lodo,Finance,mdeberta_dapt,s13,0.5,0.256,0.314,0.422,0.264,0.7884898884404872
lodo,Finance,mdeberta_dapt,s13,0.6,0.3072,0.3072,0.4476,0.2452,0.7863840898535589
lodo,Finance,mdeberta_dapt,s13,0.7,0.3584,0.3004,0.4732,0.2264,0.7836312520817185
lodo,Finance,mdeberta_dapt,s13,0.8,0.4096,0.2936,0.4988,0.2076,0.7801629189357725
lodo,Finance,mdeberta_dapt,s13,0.9,0.4608,0.2868,0.5244,0.1888,0.7758764468822162
lodo,Finance,mdeberta_dapt,s13,1.0,0.512,0.28,0.55,0.17,0.7706232191867319
lodo,Finance,mdeberta_dapt,s21,0.0,0.0,0.348,0.294,0.358,0.7886983429076152
lodo,Finance,mdeberta_dapt,s21,0.1,0.0512,0.3412,0.3196,0.3392,0.7912440838272973
lodo,Finance,mdeberta_dapt,s21,0.2,0.1024,0.3344,0.3452,0.3204,0.7931128594862867
lodo,Finance,mdeberta_dapt,s21,0.3,0.1536,0.3276,0.3708,0.3016,0.7943714702942879
lodo,Finance,mdeberta_dapt,s21,0.4,0.2048,0.3208,0.3964,0.2828,0.7950614717924157
